,city,v_w,t2m,blh,sp,tcc,tp,inversion_0/1,PM10,PM25,NO2,CO,month,year,day,hour,day_of_week
156,LD,3.449971558797306,267.22314,222.20741,101819.875,0.11956787,0.0,0,40.0,35.2836,47.1,0.716,February,2023,9,00:00:00,Thursday
157,LD,3.5671887924710965,265.75928,208.2366,101500.69,0.59228516,0.0,0,32.0,28.3338,28.8,0.693,February,2023,9,06:00:00,Thursday
158,LD,5.044208944687805,275.06934,538.38135,101255.875,0.04373169,0.0,1,19.0,16.3944,14.1,0.558,February,2023,9,12:00:00,Thursday
159,LD,5.450467246841401,272.4834,466.12402,100990.69,0.9328613,0.0,0,17.0,14.3451,35.1,0.62,February,2023,9,18:00:00,Thursday
160,LD,5.42496982987666,271.32056,431.15015,100863.69,0.9191284,0.0,1,18.0,15.4143,11.1,0.425,February,2023,10,00:00:00,Friday
161,LD,5.36778161734533,270.3916,439.0647,100847.31,0.94363403,0.0,1,17.0,15.4143,13.4,0.416,February,2023,10,06:00:00,Friday
162,LD,5.6714952247813315,274.5979,661.6428,100947.75,0.9451294,9.536743e-07,1,19.0,17.3745,16.4,0.444,February,2023,10,12:00:00,Friday
163,LD,4.871448824255701,274.9934,530.55615,101008.625,1.0,4.7683716e-06,1,25.0,22.3641,25.0,0.493,February,2023,10,18:00:00,Friday
164,LD,5.327651693861686,274.45703,587.1509,100728.0,1.0,7.6293945e-06,1,17.0,15.4143,12.2,0.411,February,2023,11,00:00:00,Saturday
165,LD,7.450820150285616,273.95654,763.6782,100235.44,0.93862915,9.536743e-07,1,16.0,14.3451,10.0,0.41,February,2023,11,06:00:00,Saturday
166,LD,7.855675390679129,276.27344,835.406,99950.875,1.0,2.2888184e-05,1,23.0,20.3148,14.0,0.473,February,2023,11,12:00:00,Saturday
167,LD,5.94825557545413,277.15015,669.2859,100146.375,1.0,4.720688e-05,1,16.0,14.3451,13.5,0.478,February,2023,11,18:00:00,Saturday
168,LD,4.382269717049882,276.1609,656.6604,100645.81,0.95129395,5.38826e-05,1,10.0,8.4645,4.6,0.405,February,2023,12,00:00:00,Sunday
169,LD,1.673067209374956,272.94336,343.0393,101166.375,0.7505493,6.67572e-06,1,2.0,1.5147,3.3,0.375,February,2023,12,06:00:00,Sunday
170,LD,2.2412502171970052,276.09155,595.90137,101364.06,0.32684326,0.0,1,5.0,4.455,7.0,0.356,February,2023,12,12:00:00,Sunday
171,LD,3.5318925471894937,275.38184,523.9453,101325.06,1.0,3.8146973e-05,1,13.0,11.4048,15.9,0.499,February,2023,12,18:00:00,Sunday
172,LD,3.9885519968539374,276.7605,411.8352,101206.81,0.96466064,2.861023e-06,1,16.0,13.365,8.1,0.505,February,2023,13,00:00:00,Monday
173,LD,3.9360975565437566,276.7627,389.48828,101152.31,1.0,3.9577484e-05,1,15.0,13.365,9.3,0.514,February,2023,13,06:00:00,Monday
174,LD,6.89170512476682,278.54858,1085.1912,101096.69,0.98928833,0.00011920929,1,5.0,4.455,16.4,0.393,February,2023,13,12:00:00,Monday
175,LD,5.3595553091909,277.42603,972.2073,101010.25,0.646698,6.67572e-06,1,8.0,6.4152,16.5,0.391,February,2023,13,18:00:00,Monday
